# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1620697087.298792 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 1.0000
1620697087.332126 0.0000 -0.0035 0.0300 -0.0000 -0.0000 -0.0000 1.0000
1620697087.365459 0.0000 -0.0071 0.0600 -0.0000 -0.0000 -0.0000 1.0000
1620697087.398792 0.0000 -0.0106 0.0900 -0.0000 -0.0000 -0.0000 1.0000
1620697087.432126 0.0000 -0.0142 0.1200 -0.0000 -0.0000 -0.0000 1.0000
1620697087.465459 0.0000 -0.0142 0.1244 -0.0000 0.0087 -0.0000 1.0000
1620697087.498792 0.0002 -0.0142 0.1287 -0.0000 0.0175 -0.0000 0.9998
1620697087.532125 0.0003 -0.0142 0.1331 -0.0000 0.0262 -0.0000 0.9997
1620697087.565459 0.0006 -0.0142 0.1374 -0.0000 0.0349 -0.0000 0.9994
1620697087.598792 0.0010 -0.0142 0.1418 -0.0000 0.0436 -0.0000 0.9990
1620697087.632125 0.0014 -0.0142 0.1461 -0.0000 0.0523 -0.0000 0.9986
1620697087.665459 0.0019 -0.0142 0.1505 -0.0000 0.0610 -0.0000 0.9981
1620697087.698792 0.0024 -0.0142 0.1548 -0.0000 0.0698 -0.0000 0.9976
1620697087.732125 0.0031 -0.0142 0.1591 -0.0000 0.0785 -0.0000 0.9969
1620697087.765459 0.0038 -0.0142 0.1634 -0.0000 0.0872 -0.0000 0.9962
1620697087.798792 0.0046 -0.0142 0.1677 -0.0000 0.0958 -0.0000 0.9954
1620697087.832125 0.0055 -0.0142 0.1720 -0.0000 0.1045 -0.0000 0.9945
1620697087.865458 0.0064 -0.0142 0.1762 -0.0000 0.1132 -0.0000 0.9936
1620697087.898792 0.0074 -0.0142 0.1805 -0.0000 0.1219 -0.0000 0.9925
1620697087.932125 0.0085 -0.0142 0.1847 -0.0000 0.1305 -0.0000 0.9914
1620697087.965458 0.0097 -0.0142 0.1889 -0.0000 0.1392 -0.0000 0.9903
1620697087.998792 0.0109 -0.0142 0.1931 -0.0000 0.1478 -0.0000 0.9890
1620697088.032125 0.0122 -0.0142 0.1973 -0.0000 0.1564 -0.0000 0.9877
1620697088.065458 0.0136 -0.0142 0.2014 -0.0000 0.1650 -0.0000 0.9863
1620697088.098792 0.0151 -0.0142 0.2055 -0.0000 0.1736 -0.0000 0.9848
1620697088.132125 0.0166 -0.0142 0.2096 -0.0000 0.1822 -0.0000 0.9833
1620697088.165458 0.0182 -0.0142 0.2137 -0.0000 0.1908 -0.0000 0.9816
1620697088.198792 0.0199 -0.0142 0.2177 -0.0000 0.1994 -0.0000 0.9799
1620697088.232125 0.0216 -0.0142 0.2217 -0.0000 0.2079 -0.0000 0.9781
1620697088.265458 0.0234 -0.0142 0.2257 -0.0000 0.2164 -0.0000 0.9763
1620697088.298791 0.0253 -0.0142 0.2296 -0.0000 0.2250 -0.0000 0.9744
1620697088.332125 0.0272 -0.0142 0.2335 -0.0000 0.2334 -0.0000 0.9724
1620697088.365458 0.0293 -0.0142 0.2374 -0.0000 0.2419 -0.0000 0.9703
1620697088.398791 0.0313 -0.0142 0.2412 -0.0000 0.2504 -0.0000 0.9681
