# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1620709839.778948 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 1.0000
1620709839.812282 0.0000 -0.0018 0.0500 -0.0000 -0.0000 -0.0000 1.0000
1620709839.845615 0.0000 -0.0035 0.1000 -0.0000 -0.0000 -0.0000 1.0000
1620709839.878948 0.0000 -0.0053 0.1500 -0.0000 -0.0000 -0.0000 1.0000
1620709839.912282 0.0000 -0.0053 0.1513 -0.0000 0.0131 -0.0000 0.9999
1620709839.945615 0.0001 -0.0053 0.1526 -0.0000 0.0262 -0.0000 0.9997
1620709839.978948 0.0002 -0.0053 0.1539 -0.0000 0.0393 -0.0000 0.9992
1620709840.012281 0.0003 -0.0053 0.1552 -0.0000 0.0523 -0.0000 0.9986
1620709840.045615 0.0004 -0.0053 0.1565 -0.0000 0.0654 -0.0000 0.9979
1620709840.078948 0.0006 -0.0053 0.1578 -0.0000 0.0785 -0.0000 0.9969
1620709840.112281 0.0008 -0.0053 0.1591 -0.0000 0.0915 -0.0000 0.9958
1620709840.145615 0.0011 -0.0053 0.1604 -0.0000 0.1045 -0.0000 0.9945
1620709840.178948 0.0014 -0.0053 0.1617 -0.0000 0.1175 -0.0000 0.9931
1620709840.212281 0.0017 -0.0053 0.1629 -0.0000 0.1305 -0.0000 0.9914
1620709840.245615 0.0021 -0.0053 0.1642 -0.0000 0.1435 -0.0000 0.9897
1620709840.278948 0.0024 -0.0053 0.1654 -0.0000 0.1564 -0.0000 0.9877
1620709840.312281 0.0029 -0.0053 0.1667 -0.0000 0.1693 -0.0000 0.9856
1620709840.345614 0.0033 -0.0053 0.1679 -0.0000 0.1822 -0.0000 0.9833
1620709840.378948 0.0038 -0.0053 0.1691 -0.0000 0.1951 -0.0000 0.9808
1620709840.412281 0.0043 -0.0053 0.1703 -0.0000 0.2079 -0.0000 0.9781
1620709840.445614 0.0049 -0.0053 0.1715 -0.0000 0.2207 -0.0000 0.9753
1620709840.478948 0.0054 -0.0053 0.1727 -0.0000 0.2334 -0.0000 0.9724
1620709840.512281 0.0061 -0.0053 0.1739 -0.0000 0.2462 -0.0000 0.9692
1620709840.545614 0.0067 -0.0053 0.1750 -0.0000 0.2588 -0.0000 0.9659
1620709840.578948 0.0074 -0.0053 0.1761 -0.0000 0.2714 -0.0000 0.9625
1620709840.612281 0.0081 -0.0053 0.1772 -0.0000 0.2840 -0.0000 0.9588
1620709840.645614 0.0088 -0.0053 0.1783 -0.0000 0.2965 -0.0000 0.9550
1620709840.678947 0.0095 -0.0053 0.1794 -0.0000 0.3090 -0.0000 0.9511
1620709840.712281 0.0103 -0.0053 0.1804 -0.0000 0.3214 -0.0000 0.9469
1620709840.745614 0.0111 -0.0053 0.1815 -0.0000 0.3338 -0.0000 0.9426
1620709840.778947 0.0120 -0.0053 0.1825 -0.0000 0.3461 -0.0000 0.9382
1620709840.812281 0.0128 -0.0053 0.1835 -0.0000 0.3584 -0.0000 0.9336
1620709840.845614 0.0137 -0.0053 0.1844 -0.0000 0.3706 -0.0000 0.9288
1620709840.878947 0.0146 -0.0053 0.1854 -0.0000 0.3827 -0.0000 0.9239
1620709840.912281 0.0156 -0.0053 0.1863 -0.0000 0.3947 -0.0000 0.9188
1620709840.945614 0.0165 -0.0053 0.1872 -0.0000 0.4067 -0.0000 0.9135
1620709840.978947 0.0175 -0.0053 0.1880 -0.0000 0.4187 -0.0000 0.9081
1620709841.012280 0.0185 -0.0053 0.1889 -0.0000 0.4305 -0.0000 0.9026
1620709841.045614 0.0196 -0.0053 0.1897 -0.0000 0.4423 -0.0000 0.8969
1620709841.078947 0.0206 -0.0053 0.1904 -0.0000 0.4540 -0.0000 0.8910
1620709841.112280 0.0217 -0.0053 0.1912 -0.0000 0.4656 -0.0000 0.8850
1620709841.145614 0.0228 -0.0053 0.1919 -0.0000 0.4772 -0.0000 0.8788
1620709841.178947 0.0239 -0.0053 0.1926 -0.0000 0.4886 -0.0000 0.8725
1620709841.212280 0.0250 -0.0053 0.1933 -0.0000 0.5000 -0.0000 0.8660
1620709841.245614 0.0261 -0.0053 0.1939 -0.0000 0.5113 -0.0000 0.8594
1620709841.278947 0.0273 -0.0053 0.1945 -0.0000 0.5225 -0.0000 0.8526
1620709841.312280 0.0285 -0.0053 0.1951 -0.0000 0.5336 -0.0000 0.8457
1620709841.345613 0.0297 -0.0053 0.1957 -0.0000 0.5446 -0.0000 0.8387
1620709841.378947 0.0309 -0.0053 0.1962 -0.0000 0.5556 -0.0000 0.8315
1620709841.412280 0.0321 -0.0053 0.1967 -0.0000 0.5664 -0.0000 0.8241
1620709841.445613 0.0333 -0.0053 0.1971 -0.0000 0.5771 -0.0000 0.8166
1620709841.478947 0.0345 -0.0053 0.1976 -0.0000 0.5878 -0.0000 0.8090
1620709841.512280 0.0358 -0.0053 0.1979 -0.0000 0.5983 -0.0000 0.8013
1620709841.545613 0.0371 -0.0053 0.1983 -0.0000 0.6088 -0.0000 0.7934
1620709841.578947 0.0383 -0.0053 0.1986 -0.0000 0.6191 -0.0000 0.7853
1620709841.612280 0.0396 -0.0053 0.1989 -0.0000 0.6293 -0.0000 0.7771
1620709841.645613 0.0409 -0.0053 0.1992 -0.0000 0.6394 -0.0000 0.7688
1620709841.678946 0.0422 -0.0053 0.1994 -0.0000 0.6494 -0.0000 0.7604
1620709841.712280 0.0435 -0.0053 0.1996 -0.0000 0.6593 -0.0000 0.7518
1620709841.745613 0.0448 -0.0053 0.1997 -0.0000 0.6691 -0.0000 0.7431
1620709841.778946 0.0461 -0.0053 0.1998 -0.0000 0.6788 -0.0000 0.7343
